question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
What are the learning outcomes of this lecture?,"The learning outcomes of this lecture are identified in the reference materials. They are:

- In [S1]: to identify and explain the pitfalls of agent development.
- In [S2]: to describe the steps involved in contract net protocol.
- In [S3]: to describe practical reasoning and relate it to intentions.
- In [S4]: to describe protocols and strategies in negotiation.
- In [S5]: to describe hybrid architecture, layered approach, and TouringMachine.

Sources: [S1], [S2], [S3], [S4], [S5]","['LEARNING OUTCOMES At the end of this lecture, you should be able to: •Identify and explain the pitfalls of agent development 2'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Describe the steps involved in contract net protocol 2'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Describe practical reasoning •Relate practical reasoning with intentions 2'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Describe protocol and strategies in negotiation 2'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Describe hybrid architecture •Layered approached •TouringMachine 2']","At the end of this lecture, you should be able to:
•Differentiate requested and non-requested coordination
•Compare the different approaches to coordination",0.6,0.999999999999948,0.99999999998,0.2
What is the scenario described in the second part of the lecture?,"The second part of the lecture discusses the Iterated Prisoner's Dilemma, a scenario where repeated interactions between two agents can lead to cooperation if they anticipate future encounters.

- **Sources**: [S4]","['LEARNING OUTCOMES At the end of this lecture, you should be able to: •Identify and explain the pitfalls of agent development 2'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Describe the steps involved in contract net protocol 2'
 'SUMMARY •Overall, of the three lectures: •Key assumption: benevolence •Agents are working together, not in competition •In today’s lecture, We discussed a number of ways of having agents decide what to do, and make sure that their work is coordinated 14'
 'THE SHADOW OF THE FUTURE •Also known as The Iterated Prisoner’s Dilemma •If you know you will be meeting your opponent again, then the incentive to defect appears to evaporate. •If you defect, you can be punished (compared to the co - operation reward) •Cooperation is (provably) the rational choice in the infinitely repeated prisoner’s dilemma. •But what if there are a finite number of repetitions? 21'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Differentiate requested and non -requested coordination •Compare the different approaches to coordination 2']",Two person wants to leave the room through the same door. They are walking such that they will arrive at the door at the same time. What should they do to ensure they can both get through the door?,1.0,0.4296370927765873,0.249999999975,0.6
What is the main reason for needing agent-oriented methodologies?,"The main reason for needing agent-oriented methodologies is to address mismatches that arise when traditional object-oriented (OO) methodologies are applied to multi-agent systems. These mismatches include concepts like classes and objects, which are not directly applicable to the distributed and autonomous nature of agents.

- **Sources**: [S1], [S2], [S3]","['AGENT ORIENTED METHODOLOGIES •There is need for agent -oriented methodologies → centred around specific agent -oriented abstractions •The adoption of OO methodologies would produce mismatches - Classes, objects, client -servers: little to do with agents 3'
 'SUMMARY •In this lecture, we explored why traditional object -oriented methodologies are not sufficient for building multi -agent systems. •We introduced agent -oriented methodologies that focus on roles, interactions, and coordination between agents. •We discussed examples such as GAIA, Agent UML, and Prometheus to illustrate different approaches to agent -based analysis and design. •We highlighted the importance of separating agent analysis from agent design to manage system complexity. 23'
 'AGENT ORIENTED METHODOLOGIES •Each methodology may introduce further abstractions - around which to model software and to organize the software process •For example: roles, organizations, responsibilities, belief, desire and intentions •Not directly translating into concrete entities of the software system → the concept of role is an aspect of an agent , not an agent 4'
 'AGENT -ORIENTED PROGRAMMING •Yoav Shoham introduced “agent -oriented programming” in 1990: “... new programming paradigm, based on a societal view of computation ...” •The key idea: •Directly programming agents in terms of intentional notions •like belief, desire, and intention •Adopts the same abstraction as humans •Resulted in the Agent0 programming language 21'
 'RELEVANT METHODOLOGIES •GAIA Methodologies •Encourages a developer to think of building agent -based systems as a process of organisational design •Agent UML •Extend Unified Modeling Language (UML) with agent features •Prometeus •Focuses mainly on the internal agent architecture → basically a methodology for designing BDI agent systems 7']",There is need for agent-oriented methodologies → centred around specific agent-oriented abstractions,0.0,0.9999999999998549,0.99999999998,0.3
What does the adoption of Object-Oriented (OO) methodologies produce?,"The adoption of Object-Oriented (OO) methodologies produces mismatches when applied to multi-agent systems, as traditional OO constructs like classes and objects do not directly align with the nature of agents and their interactions.

- **Explanation:**
- [S1] states that the adoption of OO methodologies for multi-agent systems leads to mismatches. Specifically, it mentions that classes and objects, along with client-server models, do not easily fit the requirements of agents, which often involve roles, interactions, and coordination. The mismatch arises because traditional OO constructs are not designed to handle the decentralized and autonomous nature of agents.
- [S3] further elaborates on this point, indicating that while some agent-oriented methodologies introduce new abstractions like roles, these abstractions often don't directly translate into concrete entities within the software system. Instead, the concept of a role is more about an aspect of an agent rather than a concrete entity.
- [S2] provides a more comprehensive overview, highlighting that traditional OO methodologies are not sufficient for multi-agent systems, necessitating the development of agent-oriented methodologies focusing on roles, interactions, and coordination.

**Sources: [S1], [S3], [S2]","['AGENT ORIENTED METHODOLOGIES •There is need for agent -oriented methodologies → centred around specific agent -oriented abstractions •The adoption of OO methodologies would produce mismatches - Classes, objects, client -servers: little to do with agents 3'
 'SUMMARY •In this lecture, we explored why traditional object -oriented methodologies are not sufficient for building multi -agent systems. •We introduced agent -oriented methodologies that focus on roles, interactions, and coordination between agents. •We discussed examples such as GAIA, Agent UML, and Prometheus to illustrate different approaches to agent -based analysis and design. •We highlighted the importance of separating agent analysis from agent design to manage system complexity. 23'
 'AGENT ORIENTED METHODOLOGIES •Each methodology may introduce further abstractions - around which to model software and to organize the software process •For example: roles, organizations, responsibilities, belief, desire and intentions •Not directly translating into concrete entities of the software system → the concept of role is an aspect of an agent , not an agent 4'
 'RESULT SHARING IN SUBSCRIBE/NOTIFY PATTERN •Common design pattern in OO systems: subscribe/notify •An object subscribes to another object, saying “tell me when event e happens” •When event e happens, original object is notified •Information pro -actively shared between objects •Objects required to know about the interests of other objects → inform objects when relevant information arises 9'
 'HUMAN ORIENTATION •The movement away from machine - oriented views of programming toward concepts and metaphors that more closely reflect the way we ourselves understand the world •Programmers conceptualize and implement software in terms of ever higher -level – more human -oriented – abstractions 16']","The adoption of OO methodologies would produce mismatches - Classes, objects, client-servers: little to do with agents",1.0,0.6233372248342323,0.99999999998,nan
What are the main differences between Agent-Based Analysis and Agent-Based Design?,"Agent-Based Analysis focuses on understanding the main actors and their interactions with the system, whereas Agent-Based Design focuses on the engineering aspects such as component interactions and responsibilities. Analysis aims to identify roles, responsibilities, and capabilities, while design aims to engineer these components and their interactions within the system.

**Sources**: [S1], [S2]","['AGENT -BASED ANALYSIS •Analysis aims to understand , at least •What are the main actors interacting with the system •How the system interacts with these actors •What the system is supposed to do •Then, we associate accordingly •Roles responsibilities and capabilities •Interaction patterns between agents 5'
 'AGENT -BASED DESIGN •Design aims to engineer , at least •What are the main components interacting within the system •What are the responsibilities and the capabilities of each component in the system •How the components interact to implement the system, i.e., the architecture of the system •Differently from analysis: we need to choose on which agents to use and how they interact 6'
 'SUMMARY •In this lecture, we explored why traditional object -oriented methodologies are not sufficient for building multi -agent systems. •We introduced agent -oriented methodologies that focus on roles, interactions, and coordination between agents. •We discussed examples such as GAIA, Agent UML, and Prometheus to illustrate different approaches to agent -based analysis and design. •We highlighted the importance of separating agent analysis from agent design to manage system complexity. 23'
 'RELEVANT METHODOLOGIES •GAIA Methodologies •Encourages a developer to think of building agent -based systems as a process of organisational design •Agent UML •Extend Unified Modeling Language (UML) with agent features •Prometeus •Focuses mainly on the internal agent architecture → basically a methodology for designing BDI agent systems 7'
 'WHAT IS AN AGENT? •The main point about agents is they are autonomous : capable independent action 4An agent is a computer system that is situated in some environment, and that is capable of autonomous action in that environment in order to meet its delegated objectives •It is all about decisions: •An agent must choose what action to perform •An agent must decide when to perform an action']","Agent-based analysis aims to understand, at least, what are the main actors interacting with the system and how the system interacts with these actors. Agent-based design aims to engineer, at least, what are the main components interacting within the system and what are the responsibilities and capabilities of each component in the system. Differently from analysis: we need to choose on which agents to use and how they interact.",1.0,0.9999999999998911,0.99999999998,nan
What are the key features of the Prometeus methodology?,"The Prometeus methodology focuses mainly on the internal architecture of BDI (Belief-Desire-Intention) agent systems, according to [S1].

- **Internal Architecture**: Prometeus emphasizes the design of internal components of BDI agents, rather than the external coordination among multiple agents.
- **BDI Agent Systems**: This methodology is specifically geared towards designing these specific types of agents.

Sources: [S1]","['RELEVANT METHODOLOGIES •GAIA Methodologies •Encourages a developer to think of building agent -based systems as a process of organisational design •Agent UML •Extend Unified Modeling Language (UML) with agent features •Prometeus •Focuses mainly on the internal agent architecture → basically a methodology for designing BDI agent systems 7'
 'SUMMARY •Overall, of the three lectures: •Key assumption: benevolence •Agents are working together, not in competition •In today’s lecture, We discussed a number of ways of having agents decide what to do, and make sure that their work is coordinated 14'
 'current internal state of the agent determine the actions … and future internal state of the agent. An architecture encompasses techniques and algorithms that support this methodology ...” 5Pattie Maes, 1991 (MIT)'
 'AN EXAMPLE: THE VACUUM WORLD Problems Typical Solutions •how to convert video camera input to Dirt(0, 1)? •decision making assumes a static environment: •calculative rationality •decision making using first - order logic is undecidable ! •weaken the logic; •use symbolic, non -logical representations; •shift the emphasis of reasoning from run time to design time 19'
 'DELIBERATION •How does an agent deliberate? •begin by trying to understand what the options available to you are •choose between them and commit to some •Chosen options are then intentions •The deliberate function can be decomposed into two distinct functional components: •option generation •filtering 12']",Focuses mainly on the internal agent architecture → basically a methodology for designing BDI agent systems,1.0,0.4212331707454274,0.6999999999766667,0.11764705882352941
What are the three types of mobile agents mentioned in the document?,"The three types of mobile agents mentioned in the document are: Autonomous, On-demand, and 'Active mail'.

- Autonomous mobile agents are those that operate independently without direct control from a host or another agent. They are designed to handle tasks on their own, moving from one location to another as needed.
- On-demand mobile agents are triggered by certain conditions or requests, similar to how software might be activated by user input or system events. They are useful for executing tasks that require specific actions at designated times.
- 'Active mail' refers to a type of mobile agent that is specifically designed for tasks involving emails or communication over a network. These agents are capable of moving between different locations to deliver or manage emails efficiently.

Sources: [S1], [S3]","['MOBILE AGENT TYPOLOGY 11 We can divide mobile agents into at least three types Autonomous On-demand ‘Active mail’'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Understand the need of agent -oriented methodologies •State different types of agent -oriented methodologies •Explain mobile agents by discussing the needs, issues and typology associated to it •Differentiate Telescript and TCL/TK 2'
 'MOBILE AGENTS Why mobile agents? •low-bandwidth networks •efficient use of network resources There are many issues when building software tools that can support mobile agents: •security for hosts and agents •heterogeneity of hosts •dynamic linking 10'
 'AGENTS IN TELESCRIPT •Agents are mobile : they are able to move from one place to another using a ticket , which specifies the parameters of its journey: •destination •completion time •Agents can communicate with one -another: •if they occupy different places, then they can connect across a network •if they occupy the same location, then they can meet one another 17'
 'RESOURCES •TELESCRIPT agents have an associated permit , which specifies: •what the agent can do (e.g., limitations on travel) •what resources the agent can use •The most important resources are: •‘money’, measured in ‘ teleclicks ’ (which correspond to real money) •lifetime (measured in seconds) •size (measured in bytes) •Agents and places are executed by an engine which is a kind of agent operating system 18']","We can divide mobile agents into at least three types: Autonomous, On-demand, and Active mail",1.0,0.9343246483646408,0.99999999998,1.0
What is the main issue addressed in the 'YOU OVERSELL AGENTS' section?,"The main issue in the 'YOU OVERSELL AGENTS' section is that agent technologies are not a magic solution, and there is no evidence to support that they can make the impossible possible. This section emphasizes that problems which can be solved using conventional software can also be addressed using agent technology.","['YOU OVERSELL AGENTS •Agents are not magic - If you can’t do it with ordinary software, probably can’t do it with agents •No evidence that any system developed using agent technology could not have been built using non -agent techniques •Agents may make it easier to solve certain classes of problem, but they do not make the impossible possible 4Macro (Society) Level Political Management Conceptual Analysis & Design Micro (Agent) Level'
 'KEY PITFALLS - CATEGORIES 3Political •You Oversell Agents •Over -believing Agents Management •Don’t Know Why You Want Agents •Want Generic Solutions Conceptual •Forget Agents are SoftwareAnalysis & Design •Don’t Exploit Concurrency •You Ignore Legacy Micro (Agent) Level •Use Too Much AI •Not Enough AI Macro (Society) Level •See Agents Everywhere •Too Few Agents •System Lacks Structure'
 'AGENT -BASED ANALYSIS •Analysis aims to understand , at least •What are the main actors interacting with the system •How the system interacts with these actors •What the system is supposed to do •Then, we associate accordingly •Roles responsibilities and capabilities •Interaction patterns between agents 5'
 'AGENT -BASED DESIGN •Design aims to engineer , at least •What are the main components interacting within the system •What are the responsibilities and the capabilities of each component in the system •How the components interact to implement the system, i.e., the architecture of the system •Differently from analysis: we need to choose on which agents to use and how they interact 6'
 'THE SHADOW OF THE FUTURE •Also known as The Iterated Prisoner’s Dilemma •If you know you will be meeting your opponent again, then the incentive to defect appears to evaporate. •If you defect, you can be punished (compared to the co - operation reward) •Cooperation is (provably) the rational choice in the infinitely repeated prisoner’s dilemma. •But what if there are a finite number of repetitions? 21']","Agents are not magic - If you can't do it with ordinary software, probably can't do it with agents",0.0,0.9866588472216934,0.99999999998,1.0
What is the argument presented against agents in the 'OVER -BELIEVING AGENTS' section?,"The argument presented against agents in the ""OVER-BELIEVING AGENTS"" section is that agents can become overly committed to their beliefs, leading to irrational actions even when faced with contradictory evidence. This is exemplified by the concept of ""unresolved arguments"" where an agent remains committed to a belief even when it has undefeated attackers.","['ABSTRACT ARGUMENTATION •Concerned with the overall structure of the argument (rather than internals of arguments) •Write x → y •“argument x attacks argument y” •“x is a counterexample of y” •“x is an attacker of y” where we are not actually concerned as to what x, y are •An abstract argument system is a collection of arguments together with a relation “ →” saying what attacks what •An argument is out if it has an undefeated attacker , and in if all its attackers are defeated 5'
 'WHAT IS AN AGENT? 3'
 'AGENT0 DECISION CYCLE •On each decision cycle, the message condition is matched against the messages the agent has received; •The mental condition is matched against the beliefs of the agent. •If the rule fires, then the agent becomes committed to the action (the action gets added to the agents commitment set). 24'
 'AGENTS AS INTENTIONAL SYSTEMS 28'
 'WHAT IS PRACTICAL REASONING? •Practical reasoning is reasoning directed towards actions — the process of figuring out what to do •Practical reasoning is a matter of weighing conflicting considerations for and against competing options, where the relevant considerations are provided by what the agent desires/values/cares about and what the agent believes (Bratman) •Distinguish practical reasoning from theoretical reasoning – directed towards belief 3']","Agents used in wide range of applications, but they are not a universal solution",1.0,0.9951787634310318,0.8055555555287036,1.0
"Why is it suggested that for many applications, conventional software paradigms are more appropriate in the 'DON’T KNOW WHY YOU WANT AGENTS' section?","The suggestion is made because for many applications, conventional software paradigms (like object-oriented programming) are more appropriate. This is stated in the ""Over-believing Agents"" section of the reference materials.

Sources: [S2]","['KEY PITFALLS - CATEGORIES 3Political •You Oversell Agents •Over -believing Agents Management •Don’t Know Why You Want Agents •Want Generic Solutions Conceptual •Forget Agents are SoftwareAnalysis & Design •Don’t Exploit Concurrency •You Ignore Legacy Micro (Agent) Level •Use Too Much AI •Not Enough AI Macro (Society) Level •See Agents Everywhere •Too Few Agents •System Lacks Structure'
 'OVER -BELIEVING AGENTS •Agents used in wide range of applications, but they are not a universal solution •For many applications, conventional software paradigms (e.g., OO) are more appropriate •Given a problem for which an agent and a non -agent approach appear equally good, prefer non-agent solution ! 5Macro (Society) Level Political Management Conceptual Analysis & Design Micro (Agent) Level'
 'NOT ENOUGH AI •Don’t call your on -off switch an agent! Be realistic! •Problems: •lead to the term “agent” losing any meaning •raises expectations of software recipients •leads to cynicism on the part of software developers 12Macro (Society) Level Political Management Conceptual Analysis & Design Micro (Agent) Level'
 'TOO FEW AGENTS •While some designers imagine a separate agent for every possible task, others don’t recognise value of a multi -agent approach at all •Create system with very small number of agents doing all the work •Fails software engineering test of coherence •Result is like OO program with 1 class 14Macro (Society) Level Political Management Conceptual Analysis & Design Micro (Agent) Level'
 'SOME VIEWS OF THE FIELD •We want to build systems of interacting, autonomous agents, but we don’t yet know what these systems should look like •You can take a “neat” or “scruffy” approach to the problem, seeing it as a problem of theory or a problem of engineering 37Primarily a search for appropriate theoretical foundations']","For many applications, conventional software paradigms (e.g., OO) are more appropriate",0.0,0.2551421469922734,0.99999999998,0.42857142857142855
What does the 'FORGET AGENTS ARE SOFTWARE' section suggest about agent system development?,"The 'FORGET AGENTS ARE SOFTWARE' section suggests that agent system development is an experimental process with no tried and trusted techniques. It highlights that mundane software engineering aspects such as requirements analysis, specification, design, verification, and testing are often overlooked in project plans. This leads to project failures not due to agent-specific issues, but rather due to ignoring fundamental software engineering principles.

Sources: [S1]","['FORGET AGENTS ARE SOFTWARE •Agent system development is essentially experimentation •No tried and trusted techniques (at present) •Encourages developers to forget developing software •Project plans focus on the agent bits •Mundane software engineering (requirements analysis, specification, design, verification, testing) is forgotten •Result → •project stumbles, not because agent problems, but because basic software engineering ignored 8Macro (Society) Level Political Management Conceptual'
 'AGENT ORIENTED METHODOLOGIES •Each methodology may introduce further abstractions - around which to model software and to organize the software process •For example: roles, organizations, responsibilities, belief, desire and intentions •Not directly translating into concrete entities of the software system → the concept of role is an aspect of an agent , not an agent 4'
 'KEY PITFALLS - CATEGORIES 3Political •You Oversell Agents •Over -believing Agents Management •Don’t Know Why You Want Agents •Want Generic Solutions Conceptual •Forget Agents are SoftwareAnalysis & Design •Don’t Exploit Concurrency •You Ignore Legacy Micro (Agent) Level •Use Too Much AI •Not Enough AI Macro (Society) Level •See Agents Everywhere •Too Few Agents •System Lacks Structure'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Identify and explain the pitfalls of agent development 2'
 'AGENTS AND EXPERT SYSTEMS •Expert systems typically disembodied ‘expertise’ about some (abstract) domain of discourse •Agents are situated in an environment → MYCIN is not aware of the world — only information obtained is by asking the user questions •Agents act → MYCIN does not operate on patients 19MYCIN is an example of an Expert System that knows about blood diseases in humans. It has a wealth of knowledge about blood diseases, in the form of rules.']",Agent system development is essentially experimentation,1.0,0.9045035170398906,0.94999999997625,0.3125
What is the advice given for working with legacy components in the 'YOU IGNORE LEGACY' section?,"In the ""YOU IGNORE LEGACY"" section, the advice is to work with legacy components when building systems using new technology. It emphasizes that many important components of a software system are legacy, even though they are functionally essential but technologically obsolete and cannot be easily rebuilt.

Sources: [S1]","['YOU IGNORE LEGACY •When building systems using new technology, often an assumption that it is necessary to start from a “ blank slate ” •However, in many cases, most important components of a software system will be legacy •Functionally essential, but technologically obsolete software components, which cannot readily be rebuilt •When proposing a new software solution, essential to work with such components 10Macro (Society) Level Political Management Conceptual Analysis & Design Micro (Agent)'
 'KEY PITFALLS - CATEGORIES 3Political •You Oversell Agents •Over -believing Agents Management •Don’t Know Why You Want Agents •Want Generic Solutions Conceptual •Forget Agents are SoftwareAnalysis & Design •Don’t Exploit Concurrency •You Ignore Legacy Micro (Agent) Level •Use Too Much AI •Not Enough AI Macro (Society) Level •See Agents Everywhere •Too Few Agents •System Lacks Structure'
 'HYBRID ARCHITECTURES •Meta -level control of interactions between these components becomes a key issue in hybrid architectures •Commonly used: layered approaches 4'
 'AGENT -BASED DESIGN •Design aims to engineer , at least •What are the main components interacting within the system •What are the responsibilities and the capabilities of each component in the system •How the components interact to implement the system, i.e., the architecture of the system •Differently from analysis: we need to choose on which agents to use and how they interact 6'
 'DELIBERATION •How does an agent deliberate? •begin by trying to understand what the options available to you are •choose between them and commit to some •Chosen options are then intentions •The deliberate function can be decomposed into two distinct functional components: •option generation •filtering 12']",Essential to work with such components when proposing a new software solution,1.0,0.8170858230492327,0.99999999995,nan
What is the main point about agents being autonomous?,"The main point about agents being autonomous is that they are capable of independent action and decision-making in their environment, without constant external instructions. Agents must choose their actions and decide when to perform them to meet their objectives.

**Sources: [S1], [S2]**","['WHAT IS AN AGENT? •The main point about agents is they are autonomous : capable independent action 4An agent is a computer system that is situated in some environment, and that is capable of autonomous action in that environment in order to meet its delegated objectives •It is all about decisions: •An agent must choose what action to perform •An agent must decide when to perform an action'
 'AGENTS: A FIRST DEFINITION •An agent is a computer system that is capable of independent (autonomous) action on behalf of its user or owner •I.e., figuring out what needs to be done to satisfy design objectives, rather than constantly being told •Modern agents may use generative AI models to reason, adapt to context, and create solutions without explicit re -programming 24'
 'SOME VIEWS OF THE FIELD •We want to build systems of interacting, autonomous agents, but we don’t yet know what these systems should look like •You can take a “neat” or “scruffy” approach to the problem, seeing it as a problem of theory or a problem of engineering 37Primarily a search for appropriate theoretical foundations'
 'AUTONOMOUS •By autonomous mobile, we mean agents that are able to decide for themselves where to go, when, and what to do when they get there (subject to certain resource constraints) •Such agents are generally programmed in a special language that provides a go instruction •best known example is TELESCRIPT 12'
 '18Agents are autonomous : •agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent Agents are smart : •capable of flexible (reactive, pro -active, social) behaviour – the standard object -oriented model has nothing to say about such types of behaviour Agents are active : •not passive service providers; a multi -agent system is inherently multi -threaded, in that each agent is assumed']",The main point about agents is they are autonomous : capable independent action,1.0,0.9999999999998996,0.99999999998,1.0
What is a simple agent in the context of the lecture?,"A simple agent in the context of the lecture is a computer system capable of independent action on behalf of its user or owner, capable of reasoning, adapting to context, and creating solutions without explicit re-programming.

Sources: [S3], [S1]","['SUMMARY •This lecture has looked in detail at what constitutes an intelligent agent •We looked at the properties of an intelligent agent and the properties of the environments in which it may operate •We introduced the intentional stance and discussed its use •Finally, we discussed what kinds of task an agent might need to carry out. 50'
 'SUMMARY •Overall, of the three lectures: •Key assumption: benevolence •Agents are working together, not in competition •In today’s lecture, We discussed a number of ways of having agents decide what to do, and make sure that their work is coordinated 14'
 'AGENTS: A FIRST DEFINITION •An agent is a computer system that is capable of independent (autonomous) action on behalf of its user or owner •I.e., figuring out what needs to be done to satisfy design objectives, rather than constantly being told •Modern agents may use generative AI models to reason, adapt to context, and create solutions without explicit re -programming 24'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Identify and explain the pitfalls of agent development 2'
 'LEARNING OUTCOMES At the end of today’s lecture, you should be able to: •Identify trends in the history of computing •Explain agents and multiagent system •Determine appropriate implementation of agents in various fields 5']","Control Systems
•Example: Thermostat (physical environment)
•Delegated goal is maintaining room temperature
•Actions are heat on/off
Antivirus Background Scanner
•Example: McAfee (antivirus)
•Detect and remove malicious files to maintain system health
•Actions are scan files, quarantine or delete threats",nan,0.9999999999998636,0.99999999998,1.0
What does a reactive system maintain an ongoing interaction with its environment to do?,"A reactive system maintains an ongoing interaction with its environment to respond to changes that occur in it, ensuring timely responses that are useful for the current situation.

- The definition from [S1] (page 9) explicitly states that a reactive system is one that interacts with its environment continuously and responds to changes. This interaction and response are crucial for maintaining relevance and utility in dynamic environments.
- Further elaboration in [S1] (page 9) highlights the necessity of a reactive system to handle potential failures dynamically, ensuring it can adapt to changing conditions effectively.

Sources: [S1], [S3]","['REACTIVITY •Software is hard to build for dynamic domains: program must consider possibility of failure •A reactive system is one that maintains an ongoing interaction with its environment and responds to changes that occur in it (in time for the response to be useful). 9'
 'PURELY REACTIVE AGENTS •Some agents decide what to do without reference to their history they base their decision making entirely on the present, with no reference at all to the past •We call such agents purely reactive: •A thermostat is a purely reactive agent. 39'
 'RECAP •Agent behaviors – Reactive, Pro -active, Social •Properties of environment – Real time, Dynamic, Episodic etc. •Compare agent with objects and AI systems •Agents as intentional system •Tasks for agents – Achievement Task vs Management Task •Abstract architectures for agents 2'
 'AGENT -BASED ANALYSIS •Analysis aims to understand , at least •What are the main actors interacting with the system •How the system interacts with these actors •What the system is supposed to do •Then, we associate accordingly •Roles responsibilities and capabilities •Interaction patterns between agents 5'
 'LIMITATIONS OF REACTIVE SYSTEMS •As actions are based on local information, such agents inherently take a “short -term” view •Emergent behaviour is very hard to engineer or validate; typically a trial and error approach is ultimately adopted •Whilst agents with few layers are straightforward to build, models using many layers are inherently complex and difficult to understand \uf0df Design approach does not scale -up for large systems 11']","•Reacting to an environment is easy
•e.g., stimulus → response rules
•But we generally want agents to do things for us
•Hence goal directed behaviour
•Pro-activeness:  generating and attempting to achieve goals; not driven solely by events; taking the initiative and recognising opportunities",1.0,0.7664451211190473,0.99999999998,0.3333333333333333
What are the three types of behaviour exhibited by intelligent agents?,"Intelligent agents exhibit three types of behavior: reactive, pro-active, and social.

- Reactive behavior is triggered by current circumstances without prior planning, such as a thermostat adjusting temperature based on current temperature.
- Pro-active behavior involves planning ahead for future actions, like a calendar application scheduling meetings based on future events.
- Social behavior includes interaction with other agents, such as coordinating tasks among different software programs.

Sources: [S1], [S5]","['INTELLIGENT AGENT It is typically thought as exhibiting 3 types of behaviour : •Reactive •Pro-active •Social Ability 7An intelligent agent is a computer system capable of flexible autonomous action in some environment'
 'BROOKS BEHAVIOURAL LANGUAGES Brooks proposed the following three theses: 1.Intelligent behaviour can be generated without explicit representations of the kind that symbolic AI proposes. 2.Intelligent behaviour can be generated without explicit abstract reasoning of the kind that symbolic AI proposes. 3.Intelligence is an emergent property of certain complex systems. 6Rodney Brooks: One of the most vocal critics of symbolic AI'
 'SUMMARY •This lecture has looked in detail at what constitutes an intelligent agent •We looked at the properties of an intelligent agent and the properties of the environments in which it may operate •We introduced the intentional stance and discussed its use •Finally, we discussed what kinds of task an agent might need to carry out. 50'
 'SUMMARY •Overall, of the three lectures: •Key assumption: benevolence •Agents are working together, not in competition •In today’s lecture, We discussed a number of ways of having agents decide what to do, and make sure that their work is coordinated 14'
 '18Agents are autonomous : •agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent Agents are smart : •capable of flexible (reactive, pro -active, social) behaviour – the standard object -oriented model has nothing to say about such types of behaviour Agents are active : •not passive service providers; a multi -agent system is inherently multi -threaded, in that each agent is assumed']","It is typically thought as exhibiting 3 
types of behaviour :
•Reactive
•Pro-active
•Social Ability",0.9090909090909091,0.9346578693936447,0.99999999998,0.5714285714285714
What is the difference between reactive and pro-active behavior?,"Reactive behavior involves a system responding to external inputs in a fixed manner without prior planning, whereas pro-active behavior involves a system planning and taking actions in anticipation of future events.

- Reactive behavior is characterized by immediate responses to stimuli, as seen in simple reactive agents. [S1]
- Pro-active behavior, on the other hand, involves agents making decisions and taking actions based on their current understanding of the environment, rather than just reacting to immediate inputs. [S1]

These behaviors are not mutually exclusive and often coexist within a single agent. [S1]","['INTELLIGENT AGENT It is typically thought as exhibiting 3 types of behaviour : •Reactive •Pro-active •Social Ability 7An intelligent agent is a computer system capable of flexible autonomous action in some environment'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Explain subsumption architecture in reactive agents •Brook’s behavioral languages •Emergent behavior 2'
 '18Agents are autonomous : •agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent Agents are smart : •capable of flexible (reactive, pro -active, social) behaviour – the standard object -oriented model has nothing to say about such types of behaviour Agents are active : •not passive service providers; a multi -agent system is inherently multi -threaded, in that each agent is assumed'
 'ADVANTAGES OF REACTIVE SYSTEMS •Simplicity, i.e. modules have high expressiveness •Computational tractability •Robustness against failure, i.e. possibility of modeling redundancies •Overall behavior emerges from interactions 10'
 'RECAP •Agent behaviors – Reactive, Pro -active, Social •Properties of environment – Real time, Dynamic, Episodic etc. •Compare agent with objects and AI systems •Agents as intentional system •Tasks for agents – Achievement Task vs Management Task •Abstract architectures for agents 2']","•Reacting to an environment is easy
•e.g., stimulus → response rules
•But we generally want agents to do things for us
•Hence goal directed behaviour
•Pro-activeness:  generating and attempting to achieve goals; not driven solely by events; taking the initiative and recognising opportunities",0.0,0.38421899704098883,0.8041666666465626,0.7142857142857143
